"","TIMESTAMP","D19_D","D28_W","D31_D","D33_D","D39_W","D4_W","D43_D","D7_D","D15_W","D25_W"
"60",2023-07-01 09:50:00,8134.456,8158.603,7222.874,6672.291,6955.25,7616.391,7407.056,7816.573,8626.447,9033.019
"61",2023-07-01 10:00:00,8134.456,8156.792,7222.222,6670.556,6955.197,7613.784,7403.694,7815.235,8624.485,9030.981
"62",2023-07-01 10:10:00,8133.55,8154.754,7220.5,6668.443,6955.042,7611.236,7398.806,7813.578,8619.656,9028.566
"63",2023-07-01 10:20:00,8129.928,8151.887,7218.47,6665.273,6955.128,7608.827,7395.134,7810.202,8614.373,9024.417
"64",2023-07-01 10:30:00,8129.626,8149.397,7215.933,6662.18,6955.147,7605.31,7390.566,7807.358,8613.091,9021.927
"65",2023-07-01 10:40:00,8128.117,8145.85,7214.415,6658.935,6953.93,7603.49,7385.217,7803.51,8609.619,9017.852
"66",2023-07-01 10:50:00,8125.131,8142.638,7211.781,6655.216,6952.272,7600.181,7380.931,7799.976,8605.721,9012.212
"67",2023-07-01 11:00:00,8122.496,8138.945,7207.8,6650.734,6950.845,7596.499,7373.345,7795.243,8600.96,9007.439
"68",2023-07-01 11:10:00,8121.572,8135.983,7206.147,6648.776,6950.771,7593.945,7368.913,7792.314,8598.214,9002.691
"69",2023-07-01 11:20:00,8119.517,8131.513,7203.669,6644.037,6947.315,7589.514,7363.88,7789.91,8592.355,8996.913
"70",2023-07-01 11:30:00,8114.832,8123.734,7197.134,6636.302,6938.752,7578.999,7355.694,7783.751,8581.698,8988.054
"71",2023-07-01 11:40:00,8108.794,8113.772,7188.496,6625.373,6928.538,7567.431,7349.534,7776.69,8570.222,8982.157
"72",2023-07-01 11:50:00,8102.586,8106.434,7182.863,6615.02,6918.548,7558.643,7342.999,7771.358,8559.033,8974.438
"73",2023-07-01 12:00:00,8101.448,8105.749,7182.938,6613.581,6917.721,7557.741,7341.348,7770.306,8557.142,8973.678
"74",2023-07-01 12:10:00,8102.277,8101.749,7182.638,6612.223,6916.144,7555.639,7341.272,7765.874,8552.841,8969.98
"75",2023-07-01 12:20:00,8100.014,8097.524,7180.159,6606.413,6912.764,7551.207,7337.892,7761.743,8544.541,8966.057
"76",2023-07-01 12:30:00,8099.637,8096.845,7179.558,6603.245,6911.563,7549.931,7334.587,7760.466,8540.769,8963.944
"77",2023-07-01 12:40:00,8102.671,8097.088,7182.112,6604.403,6911.712,7550.231,7334.737,7760.466,8544.178,8966.746
"78",2023-07-01 12:50:00,8104.548,8098.891,7185.567,6606.608,6911.712,7551.658,7335.263,7761.668,8548.758,8969.662
"79",2023-07-01 13:00:00,8103.008,8099.009,7185.943,6607.128,6911.712,7551.884,7335.338,7761.969,8550.384,8970.901
"80",2023-07-01 13:10:00,8099.565,8095.642,7183.013,6605.718,6911.712,7551.733,7332.184,7761.819,8546.717,8968.744
"81",2023-07-01 13:20:00,8096.013,8091.864,7179.708,6601.96,6911.412,7549.706,7325.198,7760.167,8542.263,8967.9
"82",2023-07-01 13:30:00,8093.049,8089.202,7176.479,6597.891,6908.558,7546.25,7321.368,7757.462,8535.962,8964.313
"83",2023-07-01 13:40:00,8089.868,8086.851,7173.099,6594.853,6905.703,7544.072,7318.889,7754.608,8527.775,8962.448
"84",2023-07-01 13:50:00,8089.719,8085.645,7173.034,6592.623,6903.763,7543.553,7317.621,7752.885,8525.209,8961.83
"85",2023-07-01 14:00:00,8089.52,8083.636,7172.877,6587.181,6902.708,7540.763,7316.787,7751.821,8520.247,8961.534
"86",2023-07-01 14:10:00,8086.952,8080.767,7171.815,6578.882,6902.545,7535.72,7315.346,7751.28,8510.213,8960.022
"87",2023-07-01 14:20:00,8091.712,8082.283,7173.071,6580.108,6902.384,7537.493,7315.476,7751.625,8514.213,8961.154
"88",2023-07-01 14:30:00,8091.392,8082.642,7172.663,6580.771,6902.357,7537.608,7315.372,7752.421,8514.947,8961.436
"89",2023-07-01 14:40:00,8088.671,8081.279,7167.479,6577.825,6898.523,7533.323,7314.913,7751.958,8511.02,8961.43
"90",2023-07-01 14:50:00,8087.991,8080.825,7160.995,6573.902,6894.366,7526.24,7313.162,7750.584,8506.342,8961.43
"91",2023-07-01 15:00:00,8089.349,8081.58,7157.952,6571.111,6893.429,7519.665,7312.373,7749.568,8507.549,8961.43
"92",2023-07-01 15:10:00,8089.425,8082.485,7157.612,6570.733,6890.759,7515.117,7312.331,7749.448,8508.756,8961.43
"93",2023-07-01 15:20:00,8089.425,8083.239,7157.583,6568.698,6889.171,7514.335,7311.116,7749.435,8504.532,8961.43
"94",2023-07-01 15:30:00,8091.084,8083.391,7158.146,6569.527,6888.378,7515.031,7311.053,7749.05,8507.021,8961.505
"95",2023-07-01 15:40:00,8092.141,8083.918,7160.097,6571.715,6888.227,7517.133,7311.953,7749.124,8513.057,8961.731
"96",2023-07-01 15:50:00,8090.707,8083.391,7158.307,6571.715,6884.047,7515.854,7311.662,7748.739,8512.679,8961.731
"97",2023-07-01 16:00:00,8091.914,8083.391,7159.287,6572.394,6883.452,7518.554,7311.509,7748.803,8514.264,8961.807
"98",2023-07-01 16:10:00,8092.442,8083.466,7162.624,6574.883,6883.483,7524.445,7311.542,7749.89,8519.015,8961.807
"99",2023-07-01 16:20:00,8092.442,8083.616,7162.858,6574.883,6883.493,7524.831,7311.552,7750.05,8518.11,8961.731
"100",2023-07-01 16:30:00,8092.442,8083.391,7162.634,6574.883,6881.993,7523.481,7311.554,7749.902,8517.884,8961.58
"101",2023-07-01 16:40:00,8093.951,8083.994,7165.517,6579.032,6881.72,7525.534,7311.504,7750.074,8520.977,8962.26
"102",2023-07-01 16:50:00,8094.252,8084.069,7165.995,6581.897,6881.681,7526.383,7311.306,7749.944,8523.466,8962.862
"103",2023-07-01 17:00:00,8091.159,8082.56,7166.096,6581.144,6878.548,7526.338,7309.006,7750.053,8522.409,8962.033
"104",2023-07-01 17:10:00,8092.065,8080.825,7166.071,6580.767,6875.967,7526.316,7305.228,7750.033,8523.768,8962.787
"105",2023-07-01 17:20:00,8092.442,8080.222,7166.236,6580.767,6875.981,7526.331,7301.337,7748.621,8523.24,8962.334
"106",2023-07-01 17:30:00,8092.284,8080.14,7165.916,6580.954,6875.912,7526.231,7298.334,7747.042,8523.446,8961.623
"107",2023-07-01 17:40:00,8092.81,8080.213,7165.669,6581.69,6875.729,7525.897,7296.409,7745.323,8523.748,8961.855
"108",2023-07-01 17:50:00,8094.374,8079.967,7167.036,6581.87,6875.741,7525.616,7294.773,7742.567,8524.095,8961.96
"109",2023-07-01 18:00:00,8099.086,8079.702,7170.342,6581.638,6876.357,7526.055,7294.471,7742.172,8525.982,8963.551
"110",2023-07-01 18:10:00,8100.698,8079.505,7171.581,6581.506,6876.172,7528.789,7294.354,7743.324,8528.654,8963.399
"111",2023-07-01 18:20:00,8101.622,8080.504,7172.505,6581.639,6876.207,7531.427,7294.523,7744.603,8529.794,8963.17
"112",2023-07-01 18:30:00,8101.803,8082.269,7173.541,6582.673,6876.277,7531.854,7294.884,7744.503,8529.744,8963.036
"113",2023-07-01 18:40:00,8105.842,8085.554,7176.831,6588.151,6876.41,7536.72,7296.819,7746.511,8535.288,8963.678
"114",2023-07-01 18:50:00,8103.147,8085.726,7177.434,6588.648,6876.341,7537.544,7297.195,7747.333,8537.564,8963.986
"115",2023-07-01 19:00:00,8106.486,8087.254,7178.69,6591.831,6876.397,7538.575,7299.578,7747.988,8540.072,8964.31
"116",2023-07-01 19:10:00,8111.786,8092.026,7182.543,6597.731,6878.368,7543.56,7308.763,7752.675,8544.998,8966.595
"117",2023-07-01 19:20:00,8115.411,8095.877,7187.701,6603.166,6883.003,7549.166,7316.852,7757.833,8551.791,8971.05
"118",2023-07-01 19:30:00,8120.241,8100.331,7192.021,6609.387,6888.073,7554.685,7325.899,7762.073,8558.368,8974.85
"119",2023-07-01 19:40:00,8123.487,8105.989,7196.612,6615.758,6893.102,7560.49,7332.818,7766.828,8563.061,8979.1
"120",2023-07-01 19:50:00,8127.631,8110.509,7200.703,6620.752,6898.087,7565.57,7339.246,7770.87,8568.449,8983.66
"121",2023-07-01 20:00:00,8132.534,8115.259,7204.834,6625.117,6904.001,7571.452,7345.038,7774.586,8573.956,8986.188
"122",2023-07-01 20:10:00,8136.289,8120.75,7208.185,6630.733,6909.072,7576.531,7351.764,7777.259,8579.453,8989.957
"123",2023-07-01 20:20:00,8139.798,8126.447,7212.822,6636.574,6913.633,7582.377,7357.91,7780.409,8585.757,8992.792
"124",2023-07-01 20:30:00,8142.524,8129.474,7215.06,6640.354,6918.493,7586.799,7363.079,7783.559,8590.896,8998.385
"125",2023-07-01 20:40:00,8145.62,8133.098,7218.124,6643.751,6923.715,7592.36,7368.849,7786.194,8595.728,9002.612
"126",2023-07-01 20:50:00,8146.902,8135.813,7219.587,6646.995,6926.901,7595.641,7373.704,7789.188,8598.519,9006.233
"127",2023-07-01 21:00:00,8149.392,8138.152,7221.682,6649.634,6930.485,7597.659,7379.088,7790.891,8600.404,9009.326
"128",2023-07-01 21:10:00,8152.258,8140.264,7224.152,6651.897,6933.943,7599.909,7383.077,7793.081,8604.101,9010.986
"129",2023-07-01 21:20:00,8154.823,8142.603,7226.557,6655.745,6937.765,7602.55,7387.514,7796.555,8605.986,9014.606
"130",2023-07-01 21:30:00,8158.281,8145.759,7228.874,6658.363,6941.892,7604.569,7391.796,7799.864,8609.225,9017.619
"131",2023-07-01 21:40:00,8161.456,8147.952,7230.835,6661.158,6943.698,7606.374,7394.72,7802.78,8611.491,9019.889
"132",2023-07-01 21:50:00,8164.792,8150.761,7233.874,6663.544,6946.295,7608.884,7398.441,7806.124,8615.596,9021.969
"133",2023-07-01 22:00:00,8168.022,8153.839,7236.73,6668.14,6948.694,7611.215,7401.44,7809.423,8619.373,9024.256
"134",2023-07-01 22:10:00,8170.533,8157.331,7238.462,6669.975,6950.648,7614.604,7406.029,7812.739,8623.265,9026.658
"135",2023-07-01 22:20:00,8172.328,8160.106,7242.72,6673.564,6954.22,7616.542,7410.213,7815.733,8627.169,9029.29
"136",2023-07-01 22:30:00,8174.987,8163.896,7244.181,6675.533,6956.132,7618.456,7413.405,7817.424,8630.972,9032.335
"137",2023-07-01 22:40:00,8176.909,8166.12,7246.186,6678.277,6957.387,7621.287,7416.987,7819.577,8633.197,9034.336
"138",2023-07-01 22:50:00,8178.44,8168.255,7248.94,6680.395,6959.613,7622.917,7419.967,7820.833,8636.545,9035.426
"139",2023-07-01 23:00:00,8180.805,8170.242,7250.231,6681.925,6961.354,7624.659,7423.212,7822.727,8637.553,9037.113
"140",2023-07-01 23:10:00,8183.679,8172.438,7251.362,6684.798,6962.861,7627.818,7424.643,7824.684,8641.635,9039.008
"141",2023-07-01 23:20:00,8184.737,8175.005,7252.564,6687.44,6963.913,7628.72,7427.422,7826.637,8644.655,9040.745
"142",2023-07-01 23:30:00,8187.228,8176.966,7253.991,6688.044,6965.79,7630.673,7429.976,7827.613,8647.748,9041.424
